task,mechanism,best_learned_policy,best_learned_group,best_learned_training_seed,best_learned_exact_return,best_fixed_extreme,best_fixed_extreme_exact_return,learned_minus_best_fixed_extreme,learned_beats_both_fixed_extremes,aggregation_note
respiratory,interior_optimum,discrete_cql,model_free,3414,0.4007828298754299,minimum_supported_action,0.3265570283537373,0.07422580152169261,True,frozen cell-level maximum over complete learned policy and seed inventory
respiratory,state_dependent_optimum,discrete_cql,model_free,3411,0.3981640494628162,minimum_supported_action,0.3271144214636245,0.07104962799919168,True,frozen cell-level maximum over complete learned policy and seed inventory
respiratory,heterogeneous_response,discrete_bcq,model_free,3408,0.3420746362902688,maximum_supported_action,0.3325081050112287,0.009566531279040114,True,frozen cell-level maximum over complete learned policy and seed inventory
respiratory,delayed_tradeoff,discrete_bcq,model_free,3411,0.3832010881600521,minimum_supported_action,0.4037562659257648,-0.020555177765712696,False,frozen cell-level maximum over complete learned policy and seed inventory
shock,interior_optimum,discrete_bcq,model_free,3417,0.4051133226657725,minimum_supported_action,0.3395196470527989,0.06559367561297358,True,frozen cell-level maximum over complete learned policy and seed inventory
shock,state_dependent_optimum,discrete_cql,model_free,3417,0.4023773034039578,minimum_supported_action,0.3400939695211487,0.0622833338828091,True,frozen cell-level maximum over complete learned policy and seed inventory
shock,heterogeneous_response,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3417,0.3509681059383415,minimum_supported_action,0.3401822379416478,0.010785867996693677,True,frozen cell-level maximum over complete learned policy and seed inventory
shock,delayed_tradeoff,discrete_bcq,model_free,3408,0.3855844140120905,minimum_supported_action,0.4202743252192332,-0.03468991120714271,False,frozen cell-level maximum over complete learned policy and seed inventory
aki_rrt,interior_optimum,behavior_cloning,model_free,3408,0.242091439324,minimum_supported_action,0.2420914393239999,1.1102230246251565e-16,False,frozen cell-level maximum over complete learned policy and seed inventory
aki_rrt,state_dependent_optimum,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3408,0.2528685703132366,minimum_supported_action,0.2423252047802031,0.010543365533033505,True,frozen cell-level maximum over complete learned policy and seed inventory
aki_rrt,heterogeneous_response,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.2705315330268605,maximum_supported_action,0.2544771820614332,0.01605435096542729,True,frozen cell-level maximum over complete learned policy and seed inventory
aki_rrt,delayed_tradeoff,discrete_bcq,model_free,3408,0.3417633794233749,minimum_supported_action,0.3417633794233749,0.0,False,frozen cell-level maximum over complete learned policy and seed inventory
heart_failure,interior_optimum,discrete_cql,model_free,3414,0.3279082280789593,minimum_supported_action,0.2458197400535888,0.0820884880253705,True,frozen cell-level maximum over complete learned policy and seed inventory
heart_failure,state_dependent_optimum,discrete_cql,model_free,3414,0.3173072622840824,minimum_supported_action,0.2465721010570422,0.07073516122704021,True,frozen cell-level maximum over complete learned policy and seed inventory
heart_failure,heterogeneous_response,discrete_cql,model_free,3417,0.2703800675728072,maximum_supported_action,0.2336778497451964,0.036702217827610795,True,frozen cell-level maximum over complete learned policy and seed inventory
heart_failure,delayed_tradeoff,discrete_cql,model_free,3408,0.3230469576474954,minimum_supported_action,0.3331979346319707,-0.010150976984475313,False,frozen cell-level maximum over complete learned policy and seed inventory
