manuscript_token,reported_value,manuscript_location,source_artifact,source_filter,estimator_or_metric,split_or_surface,uncertainty_method
sepsis_subjects,3391,task scale table,cohort_scale.csv,cohort=sepsis,eligible subject count,subject-disjoint development train plus validation,not applicable
sepsis_transitions,34245,task scale table,cohort_scale.csv,cohort=sepsis,materialized transition count,subject-disjoint development train plus validation,not applicable
sepsis_supported_actions,22,task scale table,cohort_scale.csv,cohort=sepsis,train-supported action-class count,development train,frozen support rule
respiratory_subjects,18709,task scale table,cohort_scale.csv,cohort=respiratory,eligible subject count,development task materialization,not applicable
respiratory_transitions,125246,task scale table,cohort_scale.csv,cohort=respiratory,materialized transition count,development task materialization,not applicable
respiratory_supported_actions,12,task scale table,cohort_scale.csv,cohort=respiratory,train-supported action-class count,development train,frozen support rule
shock_subjects,37015,task scale table,cohort_scale.csv,cohort=shock,eligible subject count,development task materialization,not applicable
shock_transitions,390341,task scale table,cohort_scale.csv,cohort=shock,materialized transition count,development task materialization,not applicable
shock_supported_actions,25,task scale table,cohort_scale.csv,cohort=shock,train-supported action-class count,development train,frozen support rule
af_flutter_subjects,2551,task scale table,cohort_scale.csv,cohort=af flutter,eligible subject count,development task materialization,not applicable
af_flutter_transitions,33836,task scale table,cohort_scale.csv,cohort=af flutter,materialized transition count,development task materialization,not applicable
af_flutter_supported_actions,16,task scale table,cohort_scale.csv,cohort=af flutter,train-supported action-class count,development train,frozen support rule
aki_subjects,16380,task scale table,cohort_scale.csv,cohort=aki,eligible subject count,development task materialization,not applicable
aki_transitions,181311,task scale table,cohort_scale.csv,cohort=aki,materialized transition count,development task materialization,not applicable
aki_supported_actions,4,task scale table,cohort_scale.csv,cohort=aki,train-supported action-class count,development train,frozen support rule
heart_failure_subjects,2378,task scale table,cohort_scale.csv,cohort=heart failure,eligible subject count,development task materialization,not applicable
heart_failure_transitions,32198,task scale table,cohort_scale.csv,cohort=heart failure,materialized transition count,development task materialization,not applicable
heart_failure_supported_actions,2,task scale table,cohort_scale.csv,cohort=heart failure,train-supported action-class count,development train,frozen support rule
respiratory_action_dimension,25,task scale table,cohort_scale.csv,cohort=respiratory,frozen action dimension,development task contract,not applicable
shock_action_dimension,25,task scale table,cohort_scale.csv,cohort=shock,frozen action dimension,development task contract,not applicable
af_flutter_action_dimension,25,task scale table,cohort_scale.csv,cohort=af flutter,frozen action dimension,development task contract,not applicable
tasks_total,6,abstract; contributions; results,cohort_policy_evaluability_axes.csv,all rows,row count,development roles,not applicable
known_value_policy_extension_tasks,4,task contracts; cross-cohort evaluability,cross_cohort_evaluation_layers.csv,known_value_policy_rows>0,row count,known-value environments,not applicable
world_model_only_tasks,1,task contracts; cross-cohort evaluability,cross_cohort_evaluation_layers.csv,evaluation_role=world-model only,row count,development roles,not applicable
decision_interval_hours,4,methods; sepsis reference,sepsis_reference_fidelity_table.csv,dimension=decision_interval,frozen contract parameter,development roles,not applicable
action_interval_hours,4,methods,sepsis_reference_fidelity_table.csv,dimension=action_interval,frozen contract parameter,development roles,not applicable
sepsis_action_count,25,sepsis reference; task table,sepsis_reference_fidelity_table.csv,dimension=action,train-derived fluid-5 x vasopressor-5,development train,not applicable
sepsis_reference_variables,40,sepsis reference,sepsis_reference_fidelity_table.csv,dimension=feature_contract,paper-listed variable count,development roles,not applicable
sepsis_terminal_horizon_days,90,sepsis reference; limitations,sepsis_reference_fidelity_table.csv,dimension=terminal_outcome,task-anchor outcome contract,unavailable,censoring audit; no estimate reported
aki_transition_action_count,4,task table,cohort_policy_evaluability_axes.csv,cohort=aki,frozen compact transition action count,development roles,not applicable
aki_policy_action_count,2,task table,cross_cohort_evaluation_layers.csv,cohort=aki,separate daily wait-versus-initiate RRT action count,known-value extension,not applicable
heart_failure_transition_action_count,2,task table,cohort_policy_evaluability_axes.csv,cohort=heart_failure,frozen compact transition action count,development roles,not applicable
heart_failure_policy_action_count,8,task table,cross_cohort_evaluation_layers.csv,cohort=heart failure,separate loop-diuretic x vaso/inotrope action count,known-value extension,not applicable
planner_horizons,1/4/8,abstract; planner methods,claim_evidence_matrix.csv,claim=planner_factorial,executed planner horizon contract,known-value and development diagnostic surfaces,paired uncertainty retained by policy in source
cem_iterations,3,planner methods,claim_evidence_matrix.csv,claim=planner_factorial; linked evaluator receipt,categorical CEM iterations,known-value environments,not applicable
cem_candidate_sequences,64,planner methods,claim_evidence_matrix.csv,claim=planner_factorial; linked evaluator receipt,fixed candidate count,known-value environments,not applicable
world_model_families,4,abstract; results,world_model_planner_bridge_table.csv,distinct method,distinct count,development validation,three-seed aggregate; no synthesis CI
world_model_bridge_rows,24,results,world_model_planner_bridge_table.csv,all rows,row count,development validation,three-seed aggregate; no synthesis CI
transformer_best_one_step,6/6,world-model results,world_model_planner_bridge_table.csv,minimum one-step error within each cohort,cohort win count,development validation,three-seed aggregate; no synthesis CI
ensemble_best_recursive,6/6,world-model results,world_model_planner_bridge_table.csv,minimum recursive error within each cohort,cohort win count,development validation,three-seed aggregate; no synthesis CI
one_step_error_min,0.669,results,world_model_planner_bridge_table.csv,all rows,minimum normalized observed-cell RMSE rounded to 3 decimals,development validation,three-seed aggregate; no synthesis CI
one_step_error_max,0.773,results,world_model_planner_bridge_table.csv,all rows,maximum normalized observed-cell RMSE rounded to 3 decimals,development validation,three-seed aggregate; no synthesis CI
rollout_error_min,0.901,results,world_model_planner_bridge_table.csv,all rows,minimum normalized recursive RMSE rounded to 3 decimals,development validation,three-seed aggregate; no synthesis CI
rollout_error_max,3.268,results,world_model_planner_bridge_table.csv,all rows,maximum normalized recursive RMSE rounded to 3 decimals,development validation,three-seed aggregate; no synthesis CI
action_delta_min,0.0001,results,factual_action_information_primary.csv,all cohorts; fixed primary estimand,minimum cohort mean matched-shuffle minus observed-action RMSE,development validation,episode-cluster intervals retained per model-seed row
action_delta_max,0.0023,results,factual_action_information_primary.csv,all cohorts; fixed primary estimand,maximum cohort mean matched-shuffle minus observed-action RMSE,development validation,episode-cluster intervals retained per model-seed row
termination_baseline_advantage,18/18,results,retrospective_policy_diagnostics.csv,diagnostic_family=termination_baseline,Brier comparison count,development roles,not applicable
known_value_policy_labels,34,known-value results,known_value_model_based_vs_model_free.csv,respiratory and shock retained labels,distinct policy/planner labels per cohort,known-value environment,policy-level paired uncertainty retained in source
respiratory_model_based_rows,24,known-value results,known_value_model_based_vs_model_free.csv,moderate + primary reward + world_model_planner,fixed method-row count,known-value environment,policy-level paired uncertainty retained in source
respiratory_model_free_rows,5,known-value results,known_value_model_based_vs_model_free.csv,moderate + primary reward + model_free,fixed method-row count,known-value environment,policy-level paired uncertainty retained in source
respiratory_max_supported_delta,0.0673,abstract; known-value results,known_value_model_based_vs_model_free.csv,respiratory + moderate + primary reward + maximum_supported_action,mean behavior-relative true return,known-value environment,mean across three paired evaluation seeds
shock_max_supported_delta,0.0760,abstract; known-value results,known_value_model_based_vs_model_free.csv,shock + moderate + primary reward + maximum_supported_action,mean behavior-relative true return,known-value environment,mean across three paired evaluation seeds
respiratory_model_exploitation_gap,1.079,prediction-to-policy results,retrospective_policy_diagnostics.csv,diagnostic_family=known_value_model_exploitation; cohort=respiratory,mean absolute learned-model versus true-return gap,known-value environment,descriptive mean across 72 world-model-planner rows
shock_model_exploitation_gap,2.344,prediction-to-policy results,retrospective_policy_diagnostics.csv,diagnostic_family=known_value_model_exploitation; cohort=shock,mean absolute learned-model versus true-return gap,known-value environment,descriptive mean across 72 world-model-planner rows
sepsis_gate_pass,98/1800,retrospective diagnostics,retrospective_policy_diagnostics.csv,diagnostic_family=canonical_sepsis_support,gate count,development roles,not applicable
sepsis_seed_instability,26/50,retrospective diagnostics,retrospective_policy_diagnostics.csv,diagnostic_family=canonical_sepsis_seed_stability,gate count,development roles,not applicable
sepsis_probability_support_failure,9/150,retrospective diagnostics,retrospective_policy_diagnostics.csv,diagnostic_family=canonical_sepsis_probability,gate count,development roles,not applicable
sepsis_collapse,18/150,retrospective diagnostics,retrospective_policy_diagnostics.csv,diagnostic_family=canonical_sepsis_policy_collapse,gate count,development roles,not applicable
tier1_approved,32,abstract; OPE results,ope_validation_and_disposition.csv,tier=tier1_exact_finite,sum approved exact tuples,known-value environments,frozen pass/fail gates
tier2_approved,0/3456,abstract; OPE results,ope_validation_and_disposition.csv,tier starts tier2,approved/evaluated exact tuples,EHR-calibrated semi-synthetic,frozen pass/fail gates
aki_task_matched_tier2_approved,236/1728,abstract; OPE results; cross-cohort evaluability,task_matched_ope_authorization.csv,task=aki_rrt,approved/evaluated exact tuples,AKI task-matched semi-synthetic,frozen pass/fail gates
heart_failure_task_matched_tier2_approved,0/2880,abstract; OPE results; cross-cohort evaluability,task_matched_ope_authorization.csv,task=heart_failure,approved/evaluated exact tuples,heart-failure task-matched semi-synthetic,frozen pass/fail gates
retrospective_ope_approved,0,abstract; OPE results,ope_validation_and_disposition.csv,tier=retrospective_real_EHR,approved exact tuples,development EHR roles,non-execution
respiratory_exploitation_rows,72,prediction-to-policy results,retrospective_policy_diagnostics.csv,diagnostic_family=known_value_model_exploitation; cohort=respiratory,world-model-planner row count,known-value environment,not applicable
shock_exploitation_rows,72,prediction-to-policy results,retrospective_policy_diagnostics.csv,diagnostic_family=known_value_model_exploitation; cohort=shock,world-model-planner row count,known-value environment,not applicable
tier1_evaluated,3456,OPE results,ope_validation_and_disposition.csv,tier=tier1_exact_finite,evaluated exact tuple count,exact finite known-value,frozen pass/fail gates
af_flutter_primary_action_delta,0.0008,world-model fidelity results,factual_action_information_primary.csv,cohort=af flutter,mean matched-shuffle minus observed-action RMSE across core model-seed rows,development validation,episode-cluster intervals retained per model-seed row
af_flutter_primary_action_ci_excluding_zero,2/10,world-model fidelity results,factual_action_information_primary.csv,cohort=af flutter,model-seed episode-cluster intervals excluding zero,development validation,500 materialized-episode bootstrap replicates per row
aki_primary_action_delta,0.0008,world-model fidelity results,factual_action_information_primary.csv,cohort=aki,mean matched-shuffle minus observed-action RMSE across core model-seed rows,development validation,episode-cluster intervals retained per model-seed row
aki_primary_action_ci_excluding_zero,10/10,world-model fidelity results,factual_action_information_primary.csv,cohort=aki,model-seed episode-cluster intervals excluding zero,development validation,500 materialized-episode bootstrap replicates per row
heart_failure_primary_action_delta,0.0001,world-model fidelity results,factual_action_information_primary.csv,cohort=heart failure,mean matched-shuffle minus observed-action RMSE across core model-seed rows,development validation,episode-cluster intervals retained per model-seed row
heart_failure_primary_action_ci_excluding_zero,0/10,world-model fidelity results,factual_action_information_primary.csv,cohort=heart failure,model-seed episode-cluster intervals excluding zero,development validation,500 materialized-episode bootstrap replicates per row
respiratory_primary_action_delta,0.0023,world-model fidelity results,factual_action_information_primary.csv,cohort=respiratory,mean matched-shuffle minus observed-action RMSE across core model-seed rows,development validation,episode-cluster intervals retained per model-seed row
respiratory_primary_action_ci_excluding_zero,10/10,world-model fidelity results,factual_action_information_primary.csv,cohort=respiratory,model-seed episode-cluster intervals excluding zero,development validation,500 materialized-episode bootstrap replicates per row
sepsis_primary_action_delta,0.0015,world-model fidelity results,factual_action_information_primary.csv,cohort=sepsis,mean matched-shuffle minus observed-action RMSE across core model-seed rows,development validation,episode-cluster intervals retained per model-seed row
sepsis_primary_action_ci_excluding_zero,0/10,world-model fidelity results,factual_action_information_primary.csv,cohort=sepsis,model-seed episode-cluster intervals excluding zero,development validation,500 materialized-episode bootstrap replicates per row
shock_primary_action_delta,0.0022,world-model fidelity results,factual_action_information_primary.csv,cohort=shock,mean matched-shuffle minus observed-action RMSE across core model-seed rows,development validation,episode-cluster intervals retained per model-seed row
shock_primary_action_ci_excluding_zero,10/10,world-model fidelity results,factual_action_information_primary.csv,cohort=shock,model-seed episode-cluster intervals excluding zero,development validation,500 materialized-episode bootstrap replicates per row
dreamer_v3_categorical_rssm_one_step_coverage90,0.9139,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=one_step,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_one_step_width90,2.3063,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=one_step,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_one_step_crps,0.3709,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=one_step,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_one_step_mean_absolute_coverage_error,0.0455,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=one_step,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_recursive_coverage90,0.7945,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=recursive,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_recursive_width90,2.2672,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=recursive,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_recursive_crps,0.5267,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=recursive,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
dreamer_v3_categorical_rssm_recursive_mean_absolute_coverage_error,0.0882,world-model uncertainty results,world_model_uncertainty_summary.csv,method=dreamer_v3_categorical_rssm; evaluation_mode=recursive,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_one_step_coverage90,0.9224,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=one_step,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_one_step_width90,2.1482,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=one_step,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_one_step_crps,0.3383,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=one_step,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_one_step_mean_absolute_coverage_error,0.0466,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=one_step,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_recursive_coverage90,0.9366,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=recursive,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
